TYPE,PARK_ID,PARK_NAME_EN,PARK_NAME_CN,ID,POI_ID,NAME_CN,NAME_EN,NAME_WIKI,GPS_CENTER,ZOOM_LEVEL,GPS_PARKING,HIKING,DRIVING,HEAT_SCORE,DISTANCE,DURATION,ROUTE,WIKI_LINK,DESC_CN,DESC_EN
POI,deva,Death Valley National Park,死谷国家公园,1,deva_1,调色板,Artist's Drive and Palette,Artist%27s_Drive_and_Palette,"36.368706, -116.803338",15,"36.363502, -116.802700",0,1,8,,,,http://en.wikipedia.org/wiki/Artist%27s_Drive_and_Palette,,
POI,deva,Death Valley National Park,死谷国家公园,2,deva_2,魔鬼高尔夫球场,Devil's Golf Course,Devil%27s_Golf_Course,"36.328333, -116.86",15,"36.330140, -116.861185",0,0,7,,,,http://en.wikipedia.org/wiki/Devil%27s_Golf_Course,,
POI,deva,Death Valley National Park,死谷国家公园,3,deva_3,恶水盆地,Badwater Basin,Badwater_Basin,"36.250278, -116.825833",15,"36.230392, -116.766474",0,0,6,,,,http://en.wikipedia.org/wiki/Badwater_Basin,,
POI,deva,Death Valley National Park,死谷国家公园,4,deva_4,扎布里斯基角,Zabriskie Point,Zabriskie_Point,"36.42, -116.811111",15,"36.421022, -116.808856",1,0,8,,,,http://en.wikipedia.org/wiki/Zabriskie_Point,,
POI,deva,Death Valley National Park,死谷国家公园,5,deva_5,但丁角,Dante's View,Dante%27s_View,"36.2206, -116.7264",15,"36.220962, -116.726506",0,1,10,,,,http://en.wikipedia.org/wiki/Dante%27s_View,,
POI,deva,Death Valley National Park,死谷国家公园,6,deva_6,赛马场,Racetrack Playa,Racetrack_Playa,"36.6813, -117.5627",15,"36.685618, -117.572551",0,1,10,,,,http://en.wikipedia.org/wiki/Racetrack_Playa,,
POI,deva,Death Valley National Park,死谷国家公园,7,deva_7,提图斯峡谷,Titus Canyon,Titus_Canyon,"36.814289, -117.181201",15,"36.814289, -117.181201",0,1,9,,,,http://en.wikipedia.org/wiki/Titus_Canyon,,
POI,deva,Death Valley National Park,死谷国家公园,8,deva_8,史考特城堡,Scotty's Castle,Scotty%27s_Castle,"37.031868, -117.341820",15,"37.031868, -117.341820",0,0,7,,,,http://en.wikipedia.org/wiki/Scotty%27s_Castle,,
POI,yell,Yellowstone National Park,黄石国家公园,1,yell_1,上黄石瀑布,Upper Yellowstone Falls,Upper_Yellowstone_Falls,"44.712778, -110.499722",15,"44.712778, -110.499722",1,1,8,,,,http://en.wikipedia.org/wiki/Upper_Yellowstone_Falls,,
POI,yell,Yellowstone National Park,黄石国家公园,2,yell_2,下黄石瀑布,Lower Yellowstone Falls,Lower_Yellowstone_Falls,"44.718056, -110.496111",15,"44.718056, -110.496111",1,1,8,,,,http://en.wikipedia.org/wiki/Lower_Yellowstone_Falls,,
POI,yell,Yellowstone National Park,黄石国家公园,3,yell_3,老忠实泉,Old Faithful,Old_Faithful,"44.46046, -110.82815",15,"44.46046, -110.82815",1,1,8,,,,http://en.wikipedia.org/wiki/Old_Faithful,,
POI,yell,Yellowstone National Park,黄石国家公园,4,yell_4,猛犸温泉,Mammoth Hot Springs,Mammoth_Hot_Springs,"44.966944, -110.712222",15,"44.966944, -110.712222",1,1,8,,,,http://en.wikipedia.org/wiki/Mammoth_Hot_Springs,,
POI,yell,Yellowstone National Park,黄石国家公园,5,yell_5,大棱镜泉,Grand Prismatic Spring,Grand_Prismatic_Spring,"44.525049, -110.83819",15,"44.525049, -110.83819",1,1,8,,,,http://en.wikipedia.org/wiki/Grand_Prismatic_Spring,,
POI,yell,Yellowstone National Park,黄石国家公园,6,yell_6,黑潭,Black Pool,Black_Pool,"44.417995, -110.571873",15,"44.417995, -110.571873",1,1,8,,,,http://en.wikipedia.org/wiki/Black_Pool,,
POI,yose,Yosemite National Park,优胜美地国家公园,1,yose_1,约塞米蒂瀑布,Yosemite Falls,Yosemite_Falls,"37.755018, -119.597297",15,"37.745310, -119.597194",1,1,9,,,,http://en.wikipedia.org/wiki/Yosemite_Falls,,
POI,yose,Yosemite National Park,优胜美地国家公园,2,yose_2,新娘面纱瀑布,Bridalveil Fall,Bridalveil_Fall,"37.716753, -119.646505",15,"37.716691, -119.651349",1,0,9,,,,http://en.wikipedia.org/wiki/Bridalveil_Fall,,
POI,yose,Yosemite National Park,优胜美地国家公园,3,yose_3,酋长岩,El Capitan,El_Capitan,"37.734093, -119.637667",15,"37.742493, -119.602235",1,0,9,,,,http://en.wikipedia.org/wiki/El_Capitan,,
POI,yose,Yosemite National Park,优胜美地国家公园,4,yose_4,半屏丘,Half Dome,Half_Dome,"37.746036, -119.53294",15,"37.735309, -119.566524",1,0,9,,,,http://en.wikipedia.org/wiki/Half_Dome,,
POI,yose,Yosemite National Park,优胜美地国家公园,5,yose_5,韦纳尔瀑布,Vernal Fall,Vernal_Fall,"37.727426, -119.543773",15,"37.735309, -119.566524",1,0,9,,,,http://en.wikipedia.org/wiki/Vernal_Fall,,
POI,yose,Yosemite National Park,优胜美地国家公园,6,yose_6,内华达瀑布,Nevada Fall,Nevada_Fall,"37.725278, -119.532778",15,"37.735309, -119.566524",1,0,9,,,,http://en.wikipedia.org/wiki/Nevada_Fall,,
POI,yose,Yosemite National Park,优胜美地国家公园,7,yose_7,镜湖,Mirror Lake,Mirror_Lake,"37.7485, -119.5491",15,"37.735309, -119.566524",1,0,9,,,,http://en.wikipedia.org/wiki/Mirror_Lake,,
POI,yose,Yosemite National Park,优胜美地国家公园,8,yose_8,蝴蝶红杉丛,Mariposa Grove,Mariposa_Grove,"37.513889, -119.598333",15,"37.501689, -119.611065",1,0,9,,,,http://en.wikipedia.org/wiki/Mariposa_Grove,,
POI,yose,Yosemite National Park,优胜美地国家公园,9,yose_9,隧道观景台,Tunnel View,Tunnel_View,"37.715912, -119.677303",15,"37.715912, -119.677303",0,1,9,,,,http://en.wikipedia.org/wiki/Tunnel_View,,